Date,Open,High,Low,Close,Adj Close,Volume
2020-10-16,4.539750,4.579570,4.535500,4.539800,4.539800,0
2020-10-19,4.541480,4.577180,4.532200,4.542100,4.542100,0
2020-10-20,4.565950,4.589820,4.559900,4.569100,4.569100,0
2020-10-21,4.560300,4.591010,4.549800,4.559830,4.559830,0
2020-10-22,4.563740,4.591220,4.561600,4.567900,4.567900,0
2020-10-23,4.571370,4.589180,4.567700,4.571430,4.571430,0
2020-10-26,4.564010,4.585380,4.556200,4.564960,4.564960,0
2020-10-27,4.576210,4.590490,4.570100,4.576540,4.576540,0
2020-10-28,4.583480,4.634210,4.578000,4.584810,4.584810,0
2020-10-29,4.629210,4.643580,4.605400,4.629460,4.629460,0
2020-10-30,4.622120,4.630130,4.608400,4.621900,4.621900,0
2020-11-02,4.607520,4.615160,4.588900,4.606770,4.606770,0
2020-11-03,4.598700,4.602490,4.533900,4.599780,4.599780,0
2020-11-04,4.541690,4.600290,4.521300,4.539590,4.539590,0
2020-11-05,4.534040,4.545090,4.502800,4.533950,4.533950,0
2020-11-06,4.524900,4.540930,4.500400,4.522380,4.522380,0
2020-11-09,4.502590,4.504380,4.459240,4.502470,4.502470,0
2020-11-10,4.478530,4.509710,4.476500,4.478300,4.478300,0
2020-11-11,4.496530,4.505700,4.476820,4.495900,4.495900,0
2020-11-12,4.478660,4.492990,4.473900,4.476900,4.476900,0
2020-11-13,4.486300,4.499900,4.478240,4.485600,4.485600,0
2020-11-16,4.481220,4.491190,4.459500,4.481250,4.481250,0
2020-11-17,4.466220,4.501620,4.464800,4.466000,4.466000,0
2020-11-18,4.487330,4.491090,4.462700,4.486610,4.486610,0
2020-11-19,4.465080,4.481530,4.457200,4.465190,4.465190,0
2020-11-20,4.465480,4.474700,4.456800,4.463800,4.463800,0
2020-11-23,4.464890,4.477680,4.458000,4.464160,4.464160,0
2020-11-24,4.465300,4.473180,4.456800,4.469050,4.469050,0
2020-11-25,4.459300,4.474490,4.456300,4.459600,4.459600,0
2020-11-26,4.461910,4.477510,4.459500,4.459800,4.459800,0
2020-11-27,4.475230,4.492450,4.470000,4.473990,4.473990,0
2020-11-30,4.485650,4.488690,4.463900,4.485830,4.485830,0
2020-12-01,4.478070,4.482780,4.444200,4.477960,4.477960,0
2020-12-02,4.442820,4.489460,4.439800,4.443150,4.443150,0
2020-12-03,4.470740,4.484490,4.462800,4.471380,4.471380,0
2020-12-04,4.467200,4.480170,4.461700,4.467110,4.467110,0
2020-12-07,4.463720,4.481010,4.456800,4.466400,4.466400,0
2020-12-08,4.473180,4.486570,4.444700,4.473120,4.473120,0
2020-12-09,4.447530,4.449920,4.414000,4.448610,4.448610,0
2020-12-10,4.423910,4.433470,4.417300,4.425770,4.425770,0
2020-12-11,4.426210,4.446340,4.418700,4.426200,4.426200,0
2020-12-14,4.441890,4.461260,4.425800,4.441450,4.441450,0
2020-12-15,4.433760,4.448480,4.427800,4.432670,4.432670,0
2020-12-16,4.433950,4.446280,4.423200,4.434030,4.434030,0
2020-12-17,4.434820,4.442990,4.424700,4.433500,4.433500,0
2020-12-18,4.435450,4.510560,4.431700,4.433100,4.433100,0
2020-12-21,4.477150,4.523630,4.475600,4.477310,4.477310,0
2020-12-22,4.492370,4.515310,4.487800,4.492370,4.492370,0
2020-12-23,4.501300,4.509330,4.486800,4.505900,4.505900,0
2020-12-24,4.498530,4.508700,4.492400,4.498770,4.498770,0
2020-12-25,4.497900,4.518800,4.493300,4.496400,4.496400,0
2020-12-28,4.499170,4.515450,4.480000,4.499530,4.499530,0
2020-12-29,4.494300,4.569130,4.476900,4.489400,4.489400,0
2020-12-30,4.539800,4.603150,4.513890,4.539130,4.539130,0
2020-12-31,4.578830,4.621190,4.548850,4.578910,4.578910,0
2021-01-01,4.535600,4.563100,4.521600,4.532100,4.532100,0
2021-01-04,4.556420,4.560250,4.525510,4.556640,4.556640,0
2021-01-05,4.553110,4.560220,4.530090,4.553000,4.553000,0
2021-01-06,4.528920,4.533420,4.503400,4.529180,4.529180,0
2021-01-07,4.522450,4.526160,4.492500,4.522960,4.522960,0
2021-01-08,4.515690,4.527680,4.504700,4.516130,4.516130,0
